,Title,Artist,Lyrics
0,Around The World ,Daft Punk ,"Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world ,Around the world, around the world. "
1,Teachers ,Daft Punk ,"Paul JohnsonDJ FunkDJ SneakDJ RushWaxmasterHyperactiveJammin GeraldBrian WilsonGeorge ClintonLil LouisAshley BeattoNeil LandstrummKenny DopeDJ HellLouis VegaK-AlexiDr. Dre is in the house yeahOmega in the houseGemini is in the houseJeff Mills is in the houseDJ DeeonDJ MiltonDJ SlugoDJs on the lowGreen VelvetJoey BeltramDJ EspRoy DavisBoo WilliamsDJ TonkaDJ SkullDJ PierreMark Dearborn in the house, yeah.Todd Edward's in the houseRomanthony's in the houseCeevea in the houseLuke SlaterDerrick CarterRobert HoodParis MitchelDave Clarke is in the houseVan Helden in the houseArmando in the houseSurgeon's in the house, yeah "
2,Oh Yeah ,Daft Punk ,"Oh Yeah ,... ,Everybody dance ,Crazy on the dance [x2],Oh Yeah ,... ,Everybody dance ,Crazy on the dance [x2],Oh Yeah ,... ,Well Baby ,Everybody dance ,Crazy on the dance [x2],Oh Yeah ,... "
